date,ticker,name,price
2016-01-05,ROG-CH,Roche Holding Ltd Dividend Right Cert.,275.3
2016-01-05,ABBN-CH,ABB Ltd.,16.725466
2016-01-05,NOVN-CH,Novartis AG,72.431206
2016-01-05,ZURN-CH,Zurich Insurance Group Ltd,250.5
2016-01-05,GIVN-CH,Givaudan SA,1775.0
2016-01-05,GEBN-CH,Geberit AG,336.7
2016-01-05,SCMN-CH,Swisscom AG,496.2
2016-01-06,LOGN-CH,Logitech International S.A.,14.95
2016-01-06,UBSG-CH,UBS Group AG,19.03
2016-01-06,SREN-CH,Swiss Re AG,96.35
2016-01-06,CFR-CH,Compagnie Financiere Richemont SA,68.0
2016-01-06,SLHN-CH,Swiss Life Holding AG,266.2
2016-01-06,PGHN-CH,Partners Group Holding AG,351.75
2016-01-06,LONN-CH,Lonza Group AG,148.5769
2016-01-06,KNIN-CH,Kuehne & Nagel International AG,133.4
2016-01-06,SIKA-CH,Sika AG,59.351185
2016-01-06,NESN-CH,Nestle S.A.,73.05
2016-01-06,HOLN-CH,Holcim Ltd,22.886618
2016-01-06,ROG-CH,Roche Holding Ltd Dividend Right Cert.,272.0
2016-01-06,ABBN-CH,ABB Ltd.,16.561396
2016-01-06,NOVN-CH,Novartis AG,71.9704
2016-01-06,ZURN-CH,Zurich Insurance Group Ltd,249.8
2016-01-06,GIVN-CH,Givaudan SA,1768.0
2016-01-06,GEBN-CH,Geberit AG,330.1
2016-01-06,SCMN-CH,Swisscom AG,496.8
2016-01-07,LOGN-CH,Logitech International S.A.,14.4
2016-01-07,UBSG-CH,UBS Group AG,18.48
2016-01-07,SREN-CH,Swiss Re AG,93.95
2016-01-07,CFR-CH,Compagnie Financiere Richemont SA,67.0
2016-01-07,SLHN-CH,Swiss Life Holding AG,261.7
2016-01-07,PGHN-CH,Partners Group Holding AG,344.25
2016-01-07,LONN-CH,Lonza Group AG,145.42752
2016-01-07,KNIN-CH,Kuehne & Nagel International AG,129.9
2016-01-07,SIKA-CH,Sika AG,58.967842
2016-01-07,NESN-CH,Nestle S.A.,71.35
2016-01-07,HOLN-CH,Holcim Ltd,22.448893
2016-01-07,ROG-CH,Roche Holding Ltd Dividend Right Cert.,270.0
2016-01-07,ABBN-CH,ABB Ltd.,16.242908
2016-01-07,NOVN-CH,Novartis AG,70.58797
2016-01-07,ZURN-CH,Zurich Insurance Group Ltd,245.5
2016-01-07,GIVN-CH,Givaudan SA,1748.0
2016-01-07,GEBN-CH,Geberit AG,323.8
2016-01-07,SCMN-CH,Swisscom AG,493.2
2016-01-08,LOGN-CH,Logitech International S.A.,13.95
2016-01-08,UBSG-CH,UBS Group AG,17.46
2016-01-08,SREN-CH,Swiss Re AG,93.25
2016-01-08,CFR-CH,Compagnie Financiere Richemont SA,66.05
2016-01-08,SLHN-CH,Swiss Life Holding AG,257.2
2016-01-08,PGHN-CH,Partners Group Holding AG,342.5
2016-01-08,LONN-CH,Lonza Group AG,143.66759
2016-01-08,KNIN-CH,Kuehne & Nagel International AG,127.7
2016-01-08,SIKA-CH,Sika AG,58.584503
2016-01-08,NESN-CH,Nestle S.A.,70.3
2016-01-08,HOLN-CH,Holcim Ltd,22.126616
2016-01-08,ROG-CH,Roche Holding Ltd Dividend Right Cert.,263.0
2016-01-08,ABBN-CH,ABB Ltd.,15.856861
2016-01-08,NOVN-CH,Novartis AG,68.786606
2016-01-08,ZURN-CH,Zurich Insurance Group Ltd,241.4
